Requirement ID,Story Id,Epic,Priority,User Story,Pages (Citations),Alignment Score,Needs Review,Matched Clauses,Clause Scores,Expected Controls,Detected Controls,Missing Controls,Evidence (Story + Steps)
2.3.2.6,8a313ed6-cc82-4a0a-aa97-e9cc92a97687,,Must,"As a Clinician, I want to store new documents in the database, so that I can maintain a comprehensive record of patient information.",6;8,0.312,False,FDA 21 CFR Part 11 11.100; FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; ISO 27001 A.10,0.632; 0.63; 0.609; 0.575,audit_trail; data_integrity; e_signature; encryption; rbac; traceability,,audit_trail; data_integrity; e_signature; encryption; rbac; traceability,"As a Clinician, I want to store new documents in the database, so that I can maintain a comprehensive record of patient information.
GIVEN I am a logged-in Clinician.
WHEN I upload a new patient document.
THEN The document is successfully stored in the database, adhering to HIPAA and FDA 21 CFR Part 11 constraints.
The system must ensure data security and patient privacy in compliance with HIPAA.
The system must comply with FDA 21 CFR Part 11 requirements for electronic records and signatures.
I am a logged-in Clinician. | I upload a new patient document.
The document is successfully stored in the database, adhering to HIPAA and FDA 21 CFR Part 11 constraints."
2.3.2.7,db06f16a-6a36-452a-9a1f-e617be30c0f6,,Must,"As a Clinician, I want to add a patient's care plan so that I can manage and track their treatment effectively.",6;11,0.455,False,FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; FDA 21 CFR Part 11 11.100; IEC 62304 5.1,0.607; 0.594; 0.581; 0.541,audit_trail; data_integrity; e_signature; rbac; risk_management; traceability; verification_validation,,audit_trail; data_integrity; e_signature; rbac; risk_management; traceability; verification_validation,"As a Clinician, I want to add a patient's care plan so that I can manage and track their treatment effectively.
GIVEN I am logged in as a Clinician.
WHEN I add a new care plan for a patient.
THEN The care plan is stored in the system and linked to the patient's record.
The system must comply with HIPAA regulations.
The system must comply with FDA 21 CFR Part 11.
I am logged in as a Clinician. | I add a new care plan for a patient.
The care plan is stored in the system and linked to the patient's record."
2.3.2.8,0f91a6e9-817f-46c8-9026-3f6ee1ebd75d,,Must,"As a Doctor, I want to store patient care plans so that I can easily access and manage them within the system.",6,1.0,False,ISO 13485 4.2.5; ISO 27001 A.9; FDA 21 CFR Part 11 11.10(e); IEC 62304 5.1,0.605; 0.571; 0.559; 0.552,audit_trail; data_integrity; rbac; risk_management; traceability; verification_validation,,audit_trail; data_integrity; rbac; risk_management; traceability; verification_validation,"As a Doctor, I want to store patient care plans so that I can easily access and manage them within the system.
GIVEN The doctor is logged into the system and has selected a patient.
WHEN The doctor creates or updates a patient care plan.
THEN The system should store the care plan securely in the database, adhering to HIPAA regulations.
Data must be stored securely and comply with HIPAA regulations.
The system must be able to store and retrieve care plans efficiently.
The doctor is logged into the system and has selected a patient. | The doctor creates or updates a patient care plan.
The system should store the care plan securely in the database, adhering to HIPAA regulations."
2.3.2.9,de66dc53-f2fc-4061-b098-f552e7c68520,,Must,"As a Doctor, I want to track reviews of care plans so that I can ensure patient care plans are regularly evaluated and updated.",6,1.0,False,FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; FDA 21 CFR Part 11 11.100; IEC 62304 5.1,0.667; 0.63; 0.626; 0.571,audit_trail; data_integrity; e_signature; rbac; risk_management; traceability; verification_validation,,audit_trail; data_integrity; e_signature; rbac; risk_management; traceability; verification_validation,"As a Doctor, I want to track reviews of care plans so that I can ensure patient care plans are regularly evaluated and updated.
GIVEN A care plan exists for a patient.
WHEN A doctor reviews the care plan.
THEN The system records the review date and the doctor who performed the review.
The system must comply with HIPAA regulations when storing and accessing care plan review information.
The system must comply with FDA 21 CFR Part 11 regulations for electronic records and signatures.
A care plan exists for a patient. | A doctor reviews the care plan.
The system records the review date and the doctor who performed the review."
2.3.2.10,a8bd0686-5690-476f-bb03-1517119db8f3,,Must,"As a Doctor, I want to track approval of care plans so that I can ensure proper authorization and adherence to treatment protocols.",6,1.0,False,FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; FDA 21 CFR Part 11 11.100; ISO 27001 A.9,0.702; 0.627; 0.613; 0.573,audit_trail; data_integrity; e_signature; rbac; traceability,data_integrity; rbac,audit_trail; e_signature; traceability,"As a Doctor, I want to track approval of care plans so that I can ensure proper authorization and adherence to treatment protocols.
GIVEN A care plan exists for a patient
WHEN The care plan is submitted for approval
THEN The system should record the approval status, approver, and timestamp.
Audit trails for care plan approvals must be maintained for compliance with FDA 21 CFR Part 11.
Access to care plan approval tracking must be role-based and compliant with HIPAA regulations.
A care plan exists for a patient | The care plan is submitted for approval
The system should record the approval status, approver, and timestamp."
2.3.2.11,44055438-1f5c-4d0a-921c-812679456594,,Must,"As a Doctor, I want to store care plan updates and changes so that the patient's EHR is up-to-date.",6;14,0.333,False,ISO 13485 4.2.5; FDA 21 CFR Part 11 11.10(e); IEC 62304 5.1; ISO 27001 A.9,0.581; 0.568; 0.541; 0.531,audit_trail; data_integrity; rbac; risk_management; traceability; verification_validation,,audit_trail; data_integrity; rbac; risk_management; traceability; verification_validation,"As a Doctor, I want to store care plan updates and changes so that the patient's EHR is up-to-date.
GIVEN The doctor has made updates to a patient's care plan
WHEN The doctor saves the updated care plan
THEN The system stores the care plan updates and changes in the database.
The storage of care plan updates and changes must comply with HIPAA regulations.
Database queries related to storing care plan updates should not exceed 2 seconds on average with less than 25 database connections active (page 14).
The doctor has made updates to a patient's care plan | The doctor saves the updated care plan
The system stores the care plan updates and changes in the database."
2.3.2.12,1affbf21-7111-4374-8fb6-9c1833e7c2d0,,Should,"As a Doctor, I want to store tracks so that I can monitor patient progress and outcomes.",6,1.0,False,FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; ISO 27001 A.9; FDA 21 CFR Part 11 11.100,0.663; 0.626; 0.575; 0.572,audit_trail; data_integrity; e_signature; rbac; traceability,data_integrity,audit_trail; e_signature; rbac; traceability,"As a Doctor, I want to store tracks so that I can monitor patient progress and outcomes.
GIVEN The system is running and accessible.
WHEN I input track data for a patient.
THEN The track data is stored securely in the database and associated with the correct patient.
HIPAA compliance for patient data storage.
FDA 21 CFR Part 11 compliance for data integrity and audit trails.
The system is running and accessible. | I input track data for a patient.
The track data is stored securely in the database and associated with the correct patient."
2.3.2.13,75e23dd8-b344-426e-8a52-b1a317b22673,,Should,"As a Clinician, I want to store classes so that patient care plans can be comprehensive.",6;11,0.333,False,FDA 21 CFR Part 11 11.10(e); IEC 62304 5.1; ISO 27001 A.9; ISO 13485 4.2.5,0.604; 0.592; 0.571; 0.57,audit_trail; data_integrity; rbac; risk_management; traceability; verification_validation,,audit_trail; data_integrity; rbac; risk_management; traceability; verification_validation,"As a Clinician, I want to store classes so that patient care plans can be comprehensive.
GIVEN The system is running and the clinician is logged in.
WHEN The clinician creates a new class or updates an existing class.
THEN The system stores the class details in the database.
The system must comply with HIPAA regulations.
The system must comply with FDA 21 CFR Part 11 regulations.
The system is running and the clinician is logged in. | The clinician creates a new class or updates an existing class.
The system stores the class details in the database."
2.3.2.14,efef7ae0-f6e9-4102-a783-b9c2f4ec7234,,Must,"As a Clinician, I want to link patients to classes so that I can manage patient schedules and track their progress in relevant programs.",6;8,0.333,False,ISO 13485 4.2.5; ISO 27001 A.9; FDA 21 CFR Part 11 11.10(e); ISO 9001 8.5.1,0.478; 0.473; 0.459; 0.436,audit_trail; data_integrity; rbac; traceability; verification_validation,rbac,audit_trail; data_integrity; traceability; verification_validation,"As a Clinician, I want to link patients to classes so that I can manage patient schedules and track their progress in relevant programs.
GIVEN I am a clinician with appropriate privileges.
WHEN I am viewing a patient's record or a class schedule.
THEN I can easily link the patient to the class.
I am a clinician with appropriate privileges. | I am viewing a patient's record or a class schedule.
I can easily link the patient to the class."
2.3.2.15,48cfc3ec-fb4e-4c02-8792-47151ab03b1c,,Must,"As a Nurse, I want to store schedules, so that I can manage patient appointments and staff availability.",6,1.0,False,ISO 27001 A.9; ISO 13485 4.2.5; IEC 62304 5.1; FDA 21 CFR Part 11 11.10(e),0.524; 0.518; 0.513; 0.509,audit_trail; data_integrity; rbac; risk_management; traceability; verification_validation,,audit_trail; data_integrity; rbac; risk_management; traceability; verification_validation,"As a Nurse, I want to store schedules, so that I can manage patient appointments and staff availability.
GIVEN I am logged in as a Nurse.
WHEN I enter the schedule information.
THEN The system stores the schedule information in the database.
I am logged in as a Nurse. | I enter the schedule information.
The system stores the schedule information in the database."
2.3.2.16,9021299a-87c3-49df-a0b1-9f52e8aa61f9,,Should,"As a Doctor, I want to access stored patient sessions so that I can review patient progress and adjust care plans.",6;5,0.25,False,FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; ISO 27001 A.9; FDA 21 CFR Part 11 11.100,0.655; 0.612; 0.583; 0.573,audit_trail; data_integrity; e_signature; rbac; traceability,,audit_trail; data_integrity; e_signature; rbac; traceability,"As a Doctor, I want to access stored patient sessions so that I can review patient progress and adjust care plans.
GIVEN Patient data exists in the system
WHEN I request to view a patient's sessions
THEN I should see a list of the patient's sessions, including date, time, and session details.
HIPAA compliance for patient data access
FDA 21 CFR Part 11 compliance for data storage and audit trails
Patient data exists in the system | I request to view a patient's sessions
I should see a list of the patient's sessions, including date, time, and session details."
2.3.2.17,693d2cf2-1b1c-453e-8edf-55e28808ee46,,Must,"As a user, I want to store all data associated with sessions so that the system maintains a complete record of patient activity and attendance.",6;5,0.429,False,FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; FDA 21 CFR Part 11 11.100; ISO 27001 A.9,0.671; 0.61; 0.604; 0.594,audit_trail; data_integrity; e_signature; rbac; traceability,,audit_trail; data_integrity; e_signature; rbac; traceability,"As a user, I want to store all data associated with sessions so that the system maintains a complete record of patient activity and attendance.
GIVEN The user is interacting with the system
WHEN The system processes session-related data (e.g., attendance, schedules, modifications)
THEN The system stores all relevant data associated with the session in the database.
Data storage must comply with HIPAA regulations.
Data storage must comply with FDA 21 CFR Part 11 regulations.
The user is interacting with the system | The system processes session-related data (e.g., attendance, schedules, modifications)
The system stores all relevant data associated with the session in the database."
2.3.2.18,ec1e7a0f-fb31-4f4a-afcb-c4fd01c5203f,,Should,"As a Doctor, I want to store group notes for sessions so that I can easily access and review session details.",6,1.0,False,FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; ISO 27001 A.9; FDA 21 CFR Part 11 11.100,0.631; 0.603; 0.576; 0.568,audit_trail; data_integrity; e_signature; rbac; traceability,,audit_trail; data_integrity; e_signature; rbac; traceability,"As a Doctor, I want to store group notes for sessions so that I can easily access and review session details.
GIVEN I am logged into the system and viewing a patient's session.
WHEN I enter group notes for the session.
THEN The group notes are stored securely in the database and associated with the session.
HIPAA compliance for data storage.
FDA 21 CFR Part 11 compliance for audit trails.
I am logged into the system and viewing a patient's session. | I enter group notes for the session.
The group notes are stored securely in the database and associated with the session."
2.3.2.19,164c07a3-af81-49ba-9fd9-59d22ec0a148,,Must,"As a Doctor, I want to store individual notes for sessions, so that I can track patient progress and tailor treatment plans effectively.",6;8,0.385,False,FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; ISO 27001 A.9; ISO 27001 A.10,0.644; 0.638; 0.605; 0.587,audit_trail; data_integrity; encryption; rbac; traceability,,audit_trail; data_integrity; encryption; rbac; traceability,"As a Doctor, I want to store individual notes for sessions, so that I can track patient progress and tailor treatment plans effectively.
GIVEN A session exists for a patient
WHEN I enter notes related to the session
THEN The notes are stored securely and associated with that specific session and patient, adhering to HIPAA regulations.
HIPAA compliance for data storage and access.
Audit trails for all note entries, modifications, and deletions (2.3.3.11)
A session exists for a patient | I enter notes related to the session
The notes are stored securely and associated with that specific session and patient, adhering to HIPAA regulations."
2.3.2.9,72a7ef77-9f22-4335-acdf-9f51d8460289,,Should,"As a Doctor, I want to track reviews of care plans so that I can ensure quality of patient care.",6;8,0.385,False,ISO 13485 4.2.5; FDA 21 CFR Part 11 11.10(e); ISO 27001 A.9; ISO 9001 8.5.1,0.632; 0.629; 0.548; 0.547,audit_trail; data_integrity; rbac; traceability; verification_validation,audit_trail,data_integrity; rbac; traceability; verification_validation,"As a Doctor, I want to track reviews of care plans so that I can ensure quality of patient care.
GIVEN a care plan exists for a patient
WHEN a review is performed on the care plan
THEN the system should track the review, including the reviewer and date of review
HIPAA compliance
Audit logging of care plan reviews (2.3.3.11, 2.3.3.12, 2.3.3.13, 2.3.3.14, 2.3.3.15, 2.3.3.16)
a care plan exists for a patient | a review is performed on the care plan
the system should track the review, including the reviewer and date of review"
2.3.2.21,15ca43a3-0201-4435-b955-59f36295e576,,Must,"As a Doctor, I want to view the Assessment timeline so that I can easily track patient progress.",7,1.0,False,ISO 13485 4.2.5; FDA 21 CFR Part 11 11.10(e); ISO 27001 A.9; ISO 9001 8.5.1,0.533; 0.532; 0.504; 0.494,audit_trail; data_integrity; rbac; traceability; verification_validation,,audit_trail; data_integrity; rbac; traceability; verification_validation,"As a Doctor, I want to view the Assessment timeline so that I can easily track patient progress.
GIVEN I am logged into the system as a Doctor and viewing a patient's record.
WHEN I navigate to the Assessments section.
THEN I should see a clear and accurate timeline of the patient's assessments, including dates and key milestones.
I am logged into the system as a Doctor and viewing a patient's record. | I navigate to the Assessments section.
I should see a clear and accurate timeline of the patient's assessments, including dates and key milestones."
2.3.2.22,4a231938-a4a3-4d19-9bdd-cd7cb0cab25c,,Must,"As a Clinician, I want to calculate who is billable based on dates, so that the billing process is streamlined and accurate.",7,1.0,False,ISO 13485 4.2.5; FDA 21 CFR Part 11 11.10(e); ISO 27001 A.9; ISO 9001 8.5.1,0.497; 0.485; 0.481; 0.481,audit_trail; data_integrity; rbac; traceability; verification_validation,,audit_trail; data_integrity; rbac; traceability; verification_validation,"As a Clinician, I want to calculate who is billable based on dates, so that the billing process is streamlined and accurate.
GIVEN The system has patient data, session information, and billing rules.
WHEN I initiate the billability calculation process.
THEN The system accurately identifies and displays which patients are billable based on the specified dates and billing rules.
The system has patient data, session information, and billing rules. | I initiate the billability calculation process.
The system accurately identifies and displays which patients are billable based on the specified dates and billing rules."
2.3.2.23,bcf39837-9725-4791-8753-c87c1761987e,,Must,"As a Clinician, I want to keep track of what claims have been sent for, so that I can efficiently manage billing and ensure accurate revenue cycle management.",7,1.0,False,FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; ISO 27001 A.9; ISO 9001 8.5.1,0.605; 0.589; 0.54; 0.524,audit_trail; data_integrity; rbac; traceability; verification_validation,audit_trail,data_integrity; rbac; traceability; verification_validation,"As a Clinician, I want to keep track of what claims have been sent for, so that I can efficiently manage billing and ensure accurate revenue cycle management.
GIVEN A patient session has occurred and a claim needs to be generated.
WHEN The claim is submitted for processing.
THEN The system should record the details of the claim, including patient, service, date, and amount submitted.
HIPAA compliance for patient data security.
Audit logging of claim submission and tracking activities.
A patient session has occurred and a claim needs to be generated. | The claim is submitted for processing.
The system should record the details of the claim, including patient, service, date, and amount submitted."
2.3.2.24,476e2c5d-59ac-4952-b2f8-bba2f7be8026,,Must,"As a Doctor, I want to track the status of claims (accepted or denied) so that I can efficiently manage patient billing and revenue cycle.",7,1.0,False,FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; ISO 27001 A.9; ISO 9001 8.5.1,0.586; 0.58; 0.561; 0.522,audit_trail; data_integrity; rbac; traceability; verification_validation,audit_trail; data_integrity,rbac; traceability; verification_validation,"As a Doctor, I want to track the status of claims (accepted or denied) so that I can efficiently manage patient billing and revenue cycle.
GIVEN A claim has been submitted for a patient
WHEN The claim is accepted or denied by the insurance provider
THEN The system should update the claim status to reflect the accepted or denied status.
GIVEN I am viewing a patient's billing information
WHEN I access the claims history
THEN I should be able to see the status (accepted or denied) of each claim.
The system must comply with HIPAA regulations regarding patient data privacy.
The system must maintain an audit log of all claim status updates, including the user who made the change and the timestamp.
A claim has been submitted for a patient | The claim is accepted or denied by the insurance provider
The system should update the claim status to reflect the accepted or denied status.
I am viewing a patient's billing information | I access the claims history
I should be able to see the status (accepted or denied) of each claim."
2.3.2.25,53b7fa06-d0da-46d8-9049-62d52f6249e4,,Must,"As a system, I want to have stored procedures for calculations within the database so that calculations are efficient and consistent.",7,0.75,False,IEC 62304 5.1; ISO 9001 8.5.1; ISO 27001 A.9; ISO 27001 A.10,0.591; 0.563; 0.563; 0.54,data_integrity; encryption; rbac; risk_management; traceability; verification_validation,,data_integrity; encryption; rbac; risk_management; traceability; verification_validation,"As a system, I want to have stored procedures for calculations within the database so that calculations are efficient and consistent.
GIVEN The database is operational
WHEN A calculation is required
THEN The system uses a stored procedure to perform the calculation
GIVEN A new calculation is needed
WHEN A developer creates a stored procedure
THEN The stored procedure is stored in the database
Performance: Calculations must be performed efficiently.
Security: Stored procedures must be secured to prevent unauthorized access or modification.
Maintainability: Stored procedures must be well-documented and easy to maintain.
The database is operational | A calculation is required
The system uses a stored procedure to perform the calculation
A new calculation is needed | A developer creates a stored procedure
The stored procedure is stored in the database"
2.3.2.23,8984bbd5-e444-47a8-94ba-961caf2554c3,,Must,"As a Clinician, I want to keep track of what claims have been sent for, so that I can ensure accurate billing and revenue cycle management.",7,1.0,False,ISO 13485 4.2.5; FDA 21 CFR Part 11 11.10(e); ISO 9001 8.5.1; ISO 27001 A.9,0.538; 0.516; 0.495; 0.484,audit_trail; data_integrity; rbac; traceability; verification_validation,,audit_trail; data_integrity; rbac; traceability; verification_validation,"As a Clinician, I want to keep track of what claims have been sent for, so that I can ensure accurate billing and revenue cycle management.
GIVEN The system has session data and billing information.
WHEN I view a session or patient record.
THEN I can see a clear indication of whether a claim has been submitted for the services provided.
The system has session data and billing information. | I view a session or patient record.
I can see a clear indication of whether a claim has been submitted for the services provided."
2.3.3.5.4,4aad4433-8ba0-40a0-9ff7-20a106dace69,,Must,"As a Clinician, I want to run a billing report so that I can track billing information.",12,0.167,False,ISO 13485 4.2.5; ISO 27001 A.9; ISO 9001 8.5.1; FDA 21 CFR Part 11 11.10(e),0.488; 0.48; 0.473; 0.471,audit_trail; data_integrity; rbac; traceability; verification_validation,,audit_trail; data_integrity; rbac; traceability; verification_validation,"As a Clinician, I want to run a billing report so that I can track billing information.
GIVEN I am a Clinician and have access to the system.
WHEN I request a billing report.
THEN The system generates a report containing billing information.
I am a Clinician and have access to the system. | I request a billing report.
The system generates a report containing billing information."
2.3.3.6,836b0423-b4f8-45d0-8e69-bbf2dc4cd2f9,,Must,"As a user, I want to see a list of sessions in the Portal so that I can easily find and access the sessions I need.",7,1.0,False,ISO 27001 A.9; FDA 21 CFR Part 11 11.10(e); IEC 62304 5.1; ISO 9001 8.5.1,0.496; 0.474; 0.47; 0.464,audit_trail; data_integrity; rbac; risk_management; traceability; verification_validation,,audit_trail; data_integrity; rbac; risk_management; traceability; verification_validation,"As a user, I want to see a list of sessions in the Portal so that I can easily find and access the sessions I need.
GIVEN I am logged into the Portal.
WHEN I navigate to the sessions section.
THEN I should see a list of all available sessions.
I am logged into the Portal. | I navigate to the sessions section.
I should see a list of all available sessions."
