requirement_id,story_id,epic,priority,scenario_id,tags,pages
2.3.2.12,1affbf21-7111-4374-8fb6-9c1833e7c2d0,,Should,1affbf21-7111-4374-8fb6-9c1833e7c2d0_AC1,@priority_Should @req_2.3.2.12 @FDA21CFR11 @HIPAA,6
2.3.2.13,75e23dd8-b344-426e-8a52-b1a317b22673,,Should,75e23dd8-b344-426e-8a52-b1a317b22673_AC1,@priority_Should @req_2.3.2.13 @FDA21CFR11 @HIPAA,6;11
2.3.2.14,efef7ae0-f6e9-4102-a783-b9c2f4ec7234,,Must,efef7ae0-f6e9-4102-a783-b9c2f4ec7234_AC1,@priority_Must @req_2.3.2.14,6;8
2.3.2.15,48cfc3ec-fb4e-4c02-8792-47151ab03b1c,,Must,48cfc3ec-fb4e-4c02-8792-47151ab03b1c_AC1,@priority_Must @req_2.3.2.15,6
2.3.2.16,9021299a-87c3-49df-a0b1-9f52e8aa61f9,,Should,9021299a-87c3-49df-a0b1-9f52e8aa61f9_AC1,@priority_Should @req_2.3.2.16 @FDA21CFR11 @HIPAA,5;6
2.3.2.17,693d2cf2-1b1c-453e-8edf-55e28808ee46,,Must,693d2cf2-1b1c-453e-8edf-55e28808ee46_AC1,@priority_Must @req_2.3.2.17 @FDA21CFR11 @HIPAA,5;6
2.3.2.18,ec1e7a0f-fb31-4f4a-afcb-c4fd01c5203f,,Should,ec1e7a0f-fb31-4f4a-afcb-c4fd01c5203f_AC1,@priority_Should @req_2.3.2.18 @FDA21CFR11 @HIPAA,6
2.3.2.19,164c07a3-af81-49ba-9fd9-59d22ec0a148,,Must,164c07a3-af81-49ba-9fd9-59d22ec0a148_AC1,@priority_Must @req_2.3.2.19 @HIPAA,6;8
2.3.2.9,72a7ef77-9f22-4335-acdf-9f51d8460289,,Should,72a7ef77-9f22-4335-acdf-9f51d8460289_AC1,@priority_Should @req_2.3.2.9 @HIPAA,6;8
2.3.2.21,15ca43a3-0201-4435-b955-59f36295e576,,Must,15ca43a3-0201-4435-b955-59f36295e576_AC1,@priority_Must @req_2.3.2.21,7
2.3.2.22,4a231938-a4a3-4d19-9bdd-cd7cb0cab25c,,Must,4a231938-a4a3-4d19-9bdd-cd7cb0cab25c_AC1,@priority_Must @req_2.3.2.22,7
2.3.2.23,bcf39837-9725-4791-8753-c87c1761987e,,Must,bcf39837-9725-4791-8753-c87c1761987e_AC1,@priority_Must @req_2.3.2.23 @HIPAA,7
2.3.2.24,476e2c5d-59ac-4952-b2f8-bba2f7be8026,,Must,476e2c5d-59ac-4952-b2f8-bba2f7be8026_AC1,@priority_Must @req_2.3.2.24 @HIPAA,7
2.3.2.24,476e2c5d-59ac-4952-b2f8-bba2f7be8026,,Must,476e2c5d-59ac-4952-b2f8-bba2f7be8026_AC2,@priority_Must @req_2.3.2.24 @HIPAA,7
2.3.2.25,53b7fa06-d0da-46d8-9049-62d52f6249e4,,Must,53b7fa06-d0da-46d8-9049-62d52f6249e4_AC1,@priority_Must @req_2.3.2.25,7
2.3.2.25,53b7fa06-d0da-46d8-9049-62d52f6249e4,,Must,53b7fa06-d0da-46d8-9049-62d52f6249e4_AC2,@priority_Must @req_2.3.2.25,7
2.3.2.23;2.3.3.4.2,8984bbd5-e444-47a8-94ba-961caf2554c3,,Must,8984bbd5-e444-47a8-94ba-961caf2554c3_AC1,@priority_Must @req_2.3.2.23 @req_2.3.3.4.2,7
2.3.3.5.4,4aad4433-8ba0-40a0-9ff7-20a106dace69,,Must,4aad4433-8ba0-40a0-9ff7-20a106dace69_AC1,@priority_Must @req_2.3.3.5.4,12
2.3.3.6,836b0423-b4f8-45d0-8e69-bbf2dc4cd2f9,,Must,836b0423-b4f8-45d0-8e69-bbf2dc4cd2f9_AC1,@priority_Must @req_2.3.3.6,7
2.3.3.7,b98e8f78-679e-4a87-bba2-68bff17b5f07,,Must,b98e8f78-679e-4a87-bba2-68bff17b5f07_AC1,@priority_Must @req_2.3.3.7,7
2.3.3.8,5e5de401-441f-4c08-816b-afcd430de3a6,,Must,5e5de401-441f-4c08-816b-afcd430de3a6_AC1,@priority_Must @req_2.3.3.8,7
2.3.3.8.4,e8843f4e-d6aa-470f-b008-ae8c38dc930f,,Must,e8843f4e-d6aa-470f-b008-ae8c38dc930f_AC1,@priority_Must @req_2.3.3.8.4,7
2.3.3.9,e7576094-cddd-4780-817b-f98355781994,,Must,e7576094-cddd-4780-817b-f98355781994_AC1,@priority_Must @req_2.3.3.9 @FDA21CFR11 @HIPAA,7
2.3.3.9,e7576094-cddd-4780-817b-f98355781994,,Must,e7576094-cddd-4780-817b-f98355781994_AC2,@priority_Must @req_2.3.3.9 @FDA21CFR11 @HIPAA,7
2.3.3.9.1,1c0eff54-c610-43d6-93b9-df2e591e4ff6,,Must,1c0eff54-c610-43d6-93b9-df2e591e4ff6_AC1,@priority_Must @req_2.3.3.9.1 @FDA21CFR11 @HIPAA,7
2.3.3.9;2.3.3.10,8b92bc9c-fa76-4b40-8818-91e71a0a5698,,Must,8b92bc9c-fa76-4b40-8818-91e71a0a5698_AC1,@priority_Must @req_2.3.3.9 @req_2.3.3.10 @HIPAA,7
2.3.3.9;2.3.3.10,8b92bc9c-fa76-4b40-8818-91e71a0a5698,,Must,8b92bc9c-fa76-4b40-8818-91e71a0a5698_AC2,@priority_Must @req_2.3.3.9 @req_2.3.3.10 @HIPAA,7
2.3.3.10.1,b4bdf2e3-d97f-4dc7-8514-b1e379db0b76,,Must,b4bdf2e3-d97f-4dc7-8514-b1e379db0b76_AC1,@priority_Must @req_2.3.3.10.1 @FDA21CFR11 @HIPAA,11
2.3.3.10.3,11453d48-f38d-42f2-affe-29a275b341d9,,Must,11453d48-f38d-42f2-affe-29a275b341d9_AC1,@priority_Must @req_2.3.3.10.3,11
2.3.3.10.3,11453d48-f38d-42f2-affe-29a275b341d9,,Must,11453d48-f38d-42f2-affe-29a275b341d9_AC2,@priority_Must @req_2.3.3.10.3,11
2.3.3.10.4,ad301c82-bf7b-4464-aceb-3a564aa7d83b,,Must,ad301c82-bf7b-4464-aceb-3a564aa7d83b_AC1,@priority_Must @req_2.3.3.10.4,6;7;11
2.3.3.11,d3b3b842-4b5e-49d7-a51b-55743b9cad9a,,Must,d3b3b842-4b5e-49d7-a51b-55743b9cad9a_AC1,@priority_Must @req_2.3.3.11 @FDA21CFR11 @HIPAA,8
2.3.3.11,d3b3b842-4b5e-49d7-a51b-55743b9cad9a,,Must,d3b3b842-4b5e-49d7-a51b-55743b9cad9a_AC2,@priority_Must @req_2.3.3.11 @FDA21CFR11 @HIPAA,8
2.3.3.11,d3b3b842-4b5e-49d7-a51b-55743b9cad9a,,Must,d3b3b842-4b5e-49d7-a51b-55743b9cad9a_AC3,@priority_Must @req_2.3.3.11 @FDA21CFR11 @HIPAA,8
2.3.3.12,c8b6c027-9235-4b22-aa0c-0d288fd24850,,Must,c8b6c027-9235-4b22-aa0c-0d288fd24850_AC1,@priority_Must @req_2.3.3.12 @FDA21CFR11 @HIPAA,8
2.3.3.13,91c56775-a690-42ef-94f5-c5aba3e3f274,,Should,91c56775-a690-42ef-94f5-c5aba3e3f274_AC1,@priority_Should @req_2.3.3.13 @FDA21CFR11 @HIPAA,8;12
2.3.3.14,c86f20e6-4261-4064-adcc-9452f9e0da3c,,Must,c86f20e6-4261-4064-adcc-9452f9e0da3c_AC1,@priority_Must @req_2.3.3.14 @FDA21CFR11 @HIPAA,8
2.3.3.15,06c4fa1f-ea09-4f9a-915a-9e36473db1a3,,Must,06c4fa1f-ea09-4f9a-915a-9e36473db1a3_AC1,@priority_Must @req_2.3.3.15 @FDA21CFR11 @HIPAA,8
2.3.3.11;2.3.3.12;2.3.3.13;2.3.3.14;2.3.3.15;2.3.3.16,c187bd13-bdf5-45db-9b6a-415b06ec88d3,,Must,c187bd13-bdf5-45db-9b6a-415b06ec88d3_AC1,@priority_Must @req_2.3.3.11 @req_2.3.3.12 @req_2.3.3.13 @req_2.3.3.14 @req_2.3.3.15 @req_2.3.3.16 @FDA21CFR11 @HIPAA,8;11
2.3.3.11;2.3.3.12;2.3.3.13;2.3.3.14;2.3.3.15;2.3.3.16,c187bd13-bdf5-45db-9b6a-415b06ec88d3,,Must,c187bd13-bdf5-45db-9b6a-415b06ec88d3_AC2,@priority_Must @req_2.3.3.11 @req_2.3.3.12 @req_2.3.3.13 @req_2.3.3.14 @req_2.3.3.15 @req_2.3.3.16 @FDA21CFR11 @HIPAA,8;11
2.3.3.17,96ab0005-0457-41fd-a8a5-a96750a0f74e,,Must,96ab0005-0457-41fd-a8a5-a96750a0f74e_AC1,@priority_Must @req_2.3.3.17,8
2.3.4.5,81a8d867-2325-4a77-b523-694586862462,,Should,81a8d867-2325-4a77-b523-694586862462_AC1,@priority_Should @req_2.3.4.5,9
2.4,e69a0b3f-0905-4db8-8a84-a67d8e2cb703,,Must,e69a0b3f-0905-4db8-8a84-a67d8e2cb703_AC1,@priority_Must @req_2.4 @FDA21CFR11 @HIPAA,8
2.4,e69a0b3f-0905-4db8-8a84-a67d8e2cb703,,Must,e69a0b3f-0905-4db8-8a84-a67d8e2cb703_AC2,@priority_Must @req_2.4 @FDA21CFR11 @HIPAA,8
2.4,e69a0b3f-0905-4db8-8a84-a67d8e2cb703,,Must,e69a0b3f-0905-4db8-8a84-a67d8e2cb703_AC3,@priority_Must @req_2.4 @FDA21CFR11 @HIPAA,8
2.7.1,1d6ddadd-128f-4015-8b1e-81ac6b88c648,,Must,1d6ddadd-128f-4015-8b1e-81ac6b88c648_AC1,@priority_Must @req_2.7.1,10
2.7.1,1d6ddadd-128f-4015-8b1e-81ac6b88c648,,Must,1d6ddadd-128f-4015-8b1e-81ac6b88c648_AC2,@priority_Must @req_2.7.1,10
2.7.2,948ee811-b316-4afc-a4a6-7c0b02afce23,,Must,948ee811-b316-4afc-a4a6-7c0b02afce23_AC1,@priority_Must @req_2.7.2 @FDA21CFR11 @HIPAA,10
2.7.2,948ee811-b316-4afc-a4a6-7c0b02afce23,,Must,948ee811-b316-4afc-a4a6-7c0b02afce23_AC2,@priority_Must @req_2.7.2 @FDA21CFR11 @HIPAA,10
2.7.3,1217893f-85c5-4ee0-bffa-a8cfff9509cc,,Should,1217893f-85c5-4ee0-bffa-a8cfff9509cc_AC1,@priority_Should @req_2.7.3,10
2.8.2,b3db685e-3487-4261-bd01-9e6620626f13,,Must,b3db685e-3487-4261-bd01-9e6620626f13_AC1,@priority_Must @req_2.8.2 @FDA21CFR11 @HIPAA,4;8;10
5.1.1.2,a13ecae7-0abc-4f22-887e-494b9f21867a,,Must,a13ecae7-0abc-4f22-887e-494b9f21867a_AC1,@priority_Must @req_5.1.1.2,13;14
4.2.1,455bbfe1-7840-471f-a4bc-ba6963ee3d68,,Must,455bbfe1-7840-471f-a4bc-ba6963ee3d68_AC1,@priority_Must @req_4.2.1 @FDA21CFR11 @HIPAA,9;13
5.1.1.3,d2ae83d7-6d7f-4a02-8dd7-f783b7930e56,,Must,d2ae83d7-6d7f-4a02-8dd7-f783b7930e56_AC1,@priority_Must @req_5.1.1.3,13;14;15
5.1.1.3,d2ae83d7-6d7f-4a02-8dd7-f783b7930e56,,Must,d2ae83d7-6d7f-4a02-8dd7-f783b7930e56_AC2,@priority_Must @req_5.1.1.3,13;14;15
5.1.1.3,d2ae83d7-6d7f-4a02-8dd7-f783b7930e56,,Must,d2ae83d7-6d7f-4a02-8dd7-f783b7930e56_AC3,@priority_Must @req_5.1.1.3,13;14;15
5.1.1.4,befdf438-ead0-41c2-abb6-cbc7671a9055,,Should,befdf438-ead0-41c2-abb6-cbc7671a9055_AC1,@priority_Should @req_5.1.1.4 @HIPAA,13;14;15
5.1.1.4,befdf438-ead0-41c2-abb6-cbc7671a9055,,Should,befdf438-ead0-41c2-abb6-cbc7671a9055_AC2,@priority_Should @req_5.1.1.4 @HIPAA,13;14;15
5.1.1.5,b47f2700-db21-45a0-98a5-f8ad4f9e993a,,Must,b47f2700-db21-45a0-98a5-f8ad4f9e993a_AC1,@priority_Must @req_5.1.1.5,14
5.1.2.3,c3444975-1707-4370-97ab-0c493c116d2f,,Must,c3444975-1707-4370-97ab-0c493c116d2f_AC1,@priority_Must @req_5.1.2.3 @HIPAA,13;14;15
5.1.2.4,7b482248-47bf-452e-a4a6-edb289cc900d,,Should,7b482248-47bf-452e-a4a6-edb289cc900d_AC1,@priority_Should @req_5.1.2.4 @HIPAA,13;14
5.1.2.5,8a482e31-4de8-45bc-972e-ffdfc0b82b7a,,Must,8a482e31-4de8-45bc-972e-ffdfc0b82b7a_AC1,@priority_Must @req_5.1.2.5 @HIPAA,14
2.3.3.11;2.3.3.12;2.3.3.13;2.3.3.14;2.3.3.15;2.3.3.16,4eba10f6-82f0-4a46-9b95-204905491bf0,,Must,4eba10f6-82f0-4a46-9b95-204905491bf0_AC1,@priority_Must @req_2.3.3.11 @req_2.3.3.12 @req_2.3.3.13 @req_2.3.3.14 @req_2.3.3.15 @req_2.3.3.16 @HIPAA,8
2.3.3.11;2.3.3.12;2.3.3.13;2.3.3.14;2.3.3.15;2.3.3.16,4eba10f6-82f0-4a46-9b95-204905491bf0,,Must,4eba10f6-82f0-4a46-9b95-204905491bf0_AC2,@priority_Must @req_2.3.3.11 @req_2.3.3.12 @req_2.3.3.13 @req_2.3.3.14 @req_2.3.3.15 @req_2.3.3.16 @HIPAA,8
2.3.3.11;2.3.3.12;2.3.3.13;2.3.3.14;2.3.3.15;2.3.3.16,4eba10f6-82f0-4a46-9b95-204905491bf0,,Must,4eba10f6-82f0-4a46-9b95-204905491bf0_AC3,@priority_Must @req_2.3.3.11 @req_2.3.3.12 @req_2.3.3.13 @req_2.3.3.14 @req_2.3.3.15 @req_2.3.3.16 @HIPAA,8
5.1.3.2,9c0a8fef-46d8-4db1-a1e9-5b3de8984004,,Must,9c0a8fef-46d8-4db1-a1e9-5b3de8984004_AC1,@priority_Must @req_5.1.3.2,14
5.2.2.1,8217b80d-b3b0-49ef-bc65-12cce6b52deb,,Must,8217b80d-b3b0-49ef-bc65-12cce6b52deb_AC1,@priority_Must @req_5.2.2.1 @HIPAA,15
5.3.1.1,ce16ca83-5426-4bb3-a58f-f1d109024906,,Must,ce16ca83-5426-4bb3-a58f-f1d109024906_AC1,@priority_Must @req_5.3.1.1 @HIPAA,15
5.3.1.2,a00ebd1f-03ef-4ed0-8841-8fb69979f15d,,Must,a00ebd1f-03ef-4ed0-8841-8fb69979f15d_AC1,@priority_Must @req_5.3.1.2 @HIPAA,13;15
5.3.1.3,7b3e4bc3-5a4a-4aab-963f-5d1e6b7bec37,,Must,7b3e4bc3-5a4a-4aab-963f-5d1e6b7bec37_AC1,@priority_Must @req_5.3.1.3 @HIPAA,15
5.3.1.3,7b3e4bc3-5a4a-4aab-963f-5d1e6b7bec37,,Must,7b3e4bc3-5a4a-4aab-963f-5d1e6b7bec37_AC2,@priority_Must @req_5.3.1.3 @HIPAA,15
5.3.2.1,0440cb0f-cea5-472b-8382-d59794355a0a,,Must,0440cb0f-cea5-472b-8382-d59794355a0a_AC1,@priority_Must @req_5.3.2.1 @HIPAA,13;15
5.3.3.1,68231c2d-de07-4259-9c47-0f712303e85a,,Must,68231c2d-de07-4259-9c47-0f712303e85a_AC1,@priority_Must @req_5.3.3.1 @HIPAA,15
5.3.3.2,fd51ae0f-0178-4c66-9f56-302100997b06,,Must,fd51ae0f-0178-4c66-9f56-302100997b06_AC1,@priority_Must @req_5.3.3.2 @HIPAA,15
5.4.2.1,ef30b23c-d3b7-44b4-bae4-b205defa015b,,Should,ef30b23c-d3b7-44b4-bae4-b205defa015b_AC1,@priority_Should @req_5.4.2.1,16
5.4.2.2,9dba99a4-e4ce-4562-bd61-fe8e4cebee06,,Must,9dba99a4-e4ce-4562-bd61-fe8e4cebee06_AC1,@priority_Must @req_5.4.2.2 @FDA21CFR11 @HIPAA,14;16
5.4.2.2,9dba99a4-e4ce-4562-bd61-fe8e4cebee06,,Must,9dba99a4-e4ce-4562-bd61-fe8e4cebee06_AC2,@priority_Must @req_5.4.2.2 @FDA21CFR11 @HIPAA,14;16
5.4.2.3,6fccb2f0-462d-435f-ae62-4cdbba4c7571,,Must,6fccb2f0-462d-435f-ae62-4cdbba4c7571_AC1,@priority_Must @req_5.4.2.3 @FDA21CFR11 @HIPAA,8;16
5.4.2.3,6fccb2f0-462d-435f-ae62-4cdbba4c7571,,Must,6fccb2f0-462d-435f-ae62-4cdbba4c7571_AC2,@priority_Must @req_5.4.2.3 @FDA21CFR11 @HIPAA,8;16
5.4.3.1,3414fb1b-9417-4da1-ad75-5a99e7eaafc4,,Should,3414fb1b-9417-4da1-ad75-5a99e7eaafc4_AC1,@priority_Should @req_5.4.3.1 @FDA21CFR11 @HIPAA,16
5.4.3.2,aef5a6f5-4f05-4edc-b7cc-0cc2400483e1,,Must,aef5a6f5-4f05-4edc-b7cc-0cc2400483e1_AC1,@priority_Must @req_5.4.3.2 @FDA21CFR11 @HIPAA,5;8;16
5.4.3.2,aef5a6f5-4f05-4edc-b7cc-0cc2400483e1,,Must,aef5a6f5-4f05-4edc-b7cc-0cc2400483e1_AC2,@priority_Must @req_5.4.3.2 @FDA21CFR11 @HIPAA,5;8;16
5.4.3.3,0d1844fe-1194-402f-982c-5ef87217e3f4,,Must,0d1844fe-1194-402f-982c-5ef87217e3f4_AC1,@priority_Must @req_5.4.3.3 @FDA21CFR11 @HIPAA,16
5.4.3.3,0d1844fe-1194-402f-982c-5ef87217e3f4,,Must,0d1844fe-1194-402f-982c-5ef87217e3f4_AC2,@priority_Must @req_5.4.3.3 @FDA21CFR11 @HIPAA,16
AUTO-1,2f19080b-c4fc-4ee7-ae1a-149ad532b791,,Must,2f19080b-c4fc-4ee7-ae1a-149ad532b791_AC1,@priority_Must @req_AUTO-1 @FDA21CFR11 @HIPAA,4;13
AUTO-1,2f19080b-c4fc-4ee7-ae1a-149ad532b791,,Must,2f19080b-c4fc-4ee7-ae1a-149ad532b791_AC2,@priority_Must @req_AUTO-1 @FDA21CFR11 @HIPAA,4;13
2,cff2a72e-425d-4891-9277-503b84810b84,,Must,cff2a72e-425d-4891-9277-503b84810b84_AC1,@priority_Must @req_2 @FDA21CFR11 @HIPAA,8
2,cff2a72e-425d-4891-9277-503b84810b84,,Must,cff2a72e-425d-4891-9277-503b84810b84_AC2,@priority_Must @req_2 @FDA21CFR11 @HIPAA,8
1,2630be87-92a0-4589-a775-c5f4e26e35e2,,Must,2630be87-92a0-4589-a775-c5f4e26e35e2_AC1,@priority_Must @req_1,4
1,2630be87-92a0-4589-a775-c5f4e26e35e2,,Must,2630be87-92a0-4589-a775-c5f4e26e35e2_AC2,@priority_Must @req_1,4
1.2,2d2bb89c-8b78-43c3-9333-ca79f10c694c,,Must,2d2bb89c-8b78-43c3-9333-ca79f10c694c_AC1,@priority_Must @req_1.2,4
1.3,569600a7-d599-433d-a8da-45e6a042c640,,Must,569600a7-d599-433d-a8da-45e6a042c640_AC1,@priority_Must @req_1.3 @FDA21CFR11 @HIPAA,4;5
1.5,b70ee240-a075-4aca-a337-7677bfa78d11,,Must,b70ee240-a075-4aca-a337-7677bfa78d11_AC1,@priority_Must @req_1.5 @FDA21CFR11 @HIPAA,5
2,a13a3f38-09bb-424e-86a2-89d59342669a,Implement Clinician Portal,Must,a13a3f38-09bb-424e-86a2-89d59342669a_AC1,@priority_Must @req_2 @FDA21CFR11 @HIPAA,4;6
2.1,f0d52e99-1fe9-4d95-90ed-a582b8426fda,Implement Clinician Portal,Must,f0d52e99-1fe9-4d95-90ed-a582b8426fda_AC1,@priority_Must @req_2.1 @HIPAA,6
2.2;2.3.2.8;2.3.2.11,2d3c7e56-665c-4979-9bea-46655b6f5722,Implement Clinician Portal,Must,2d3c7e56-665c-4979-9bea-46655b6f5722_AC1,@priority_Must @req_2.2 @req_2.3.2.8 @req_2.3.2.11 @FDA21CFR11 @HIPAA,6
2.3,9303be75-30e5-4ffc-b9a4-1649388674aa,,Should,9303be75-30e5-4ffc-b9a4-1649388674aa_AC1,@priority_Should @req_2.3,10
2.3.1.1,974710c5-6117-46d6-b719-2e3bae299c38,,Must,974710c5-6117-46d6-b719-2e3bae299c38_AC1,@priority_Must @req_2.3.1.1,6;10
2.3.1.2,c1f650d5-cdd6-4e38-b0e1-37b7d276c133,,Must,c1f650d5-cdd6-4e38-b0e1-37b7d276c133_AC1,@priority_Must @req_2.3.1.2 @FDA21CFR11 @HIPAA,6
2.3.1.3,d5bd9469-1afb-4b4d-8647-626c661b4569,,Must,d5bd9469-1afb-4b4d-8647-626c661b4569_AC1,@priority_Must @req_2.3.1.3 @FDA21CFR11 @HIPAA,6
5.1.1,9e5fc573-ffd1-4f42-b8c0-ab93d354f3fd,,Must,9e5fc573-ffd1-4f42-b8c0-ab93d354f3fd_AC1,@priority_Must @req_5.1.1 @FDA21CFR11 @HIPAA,6;13
2.3.3,a36c5efa-4c57-495a-af53-3195aca5e963,,Must,a36c5efa-4c57-495a-af53-3195aca5e963_AC1,@priority_Must @req_2.3.3 @FDA21CFR11 @HIPAA,8
2.3.3,a36c5efa-4c57-495a-af53-3195aca5e963,,Must,a36c5efa-4c57-495a-af53-3195aca5e963_AC2,@priority_Must @req_2.3.3 @FDA21CFR11 @HIPAA,8
2.3.3.1,0727dc20-8963-42dd-8568-6c8e8ab4d42f,,Should,0727dc20-8963-42dd-8568-6c8e8ab4d42f_AC1,@priority_Should @req_2.3.3.1,12
2.3.3.2,10bf77db-2d1a-429d-aeae-c9f90c4b5759,,Should,10bf77db-2d1a-429d-aeae-c9f90c4b5759_AC1,@priority_Should @req_2.3.3.2,12
2.3.3.3,b0c0a546-d260-4c3c-9fce-24983bb6c668,,Must,b0c0a546-d260-4c3c-9fce-24983bb6c668_AC1,@priority_Must @req_2.3.3.3,7
2.3.3.3,b0c0a546-d260-4c3c-9fce-24983bb6c668,,Must,b0c0a546-d260-4c3c-9fce-24983bb6c668_AC2,@priority_Must @req_2.3.3.3,7
2.3.3.4,05294210-26f5-4f73-a50c-5ad0e89e1bf4,,Should,05294210-26f5-4f73-a50c-5ad0e89e1bf4_AC1,@priority_Should @req_2.3.3.4,7
2.3.3.4.1,933bb33d-1099-4396-8d5b-edf0bc4ce8f1,,Should,933bb33d-1099-4396-8d5b-edf0bc4ce8f1_AC1,@priority_Should @req_2.3.3.4.1,11;16
2.3.3.4.3,89ae4778-6dcb-43e6-b867-5dd9183b2348,,Must,89ae4778-6dcb-43e6-b867-5dd9183b2348_AC1,@priority_Must @req_2.3.3.4.3 @HIPAA,12
2.3.3.4.4;DHM_UC_24,1f2a3c55-f8fe-4c4c-a080-9e102ecf6e5d,,Should,1f2a3c55-f8fe-4c4c-a080-9e102ecf6e5d_AC1,@priority_Should @req_2.3.3.4.4 @req_DHM_UC_24,11
2.3.3.4.5,6301fe0d-a335-4298-9495-b2c4a17b0331,,Must,6301fe0d-a335-4298-9495-b2c4a17b0331_AC1,@priority_Must @req_2.3.3.4.5 @HIPAA,7;16
2.3.3.4.6,a122b9a4-7f69-4f76-b45c-18b743c08d48,,Should,a122b9a4-7f69-4f76-b45c-18b743c08d48_AC1,@priority_Should @req_2.3.3.4.6 @FDA21CFR11 @HIPAA,11
2.3.3.4.7,427e47c7-4cc3-4766-b332-87afd3ee144e,,Should,427e47c7-4cc3-4766-b332-87afd3ee144e_AC1,@priority_Should @req_2.3.3.4.7,7
2.3.3.5,6734ab19-4f4b-44c6-93d5-723d892ead5e,,Should,6734ab19-4f4b-44c6-93d5-723d892ead5e_AC1,@priority_Should @req_2.3.3.5,7
2.3.3.5.1,aca0aadf-e3fa-44eb-add5-d5d9249890cf,,Must,aca0aadf-e3fa-44eb-add5-d5d9249890cf_AC1,@priority_Must @req_2.3.3.5.1 @FDA21CFR11 @HIPAA,11
2.3.3.5.2,a259f8fc-3fa7-4309-ac71-6ad41aefeaee,,Must,a259f8fc-3fa7-4309-ac71-6ad41aefeaee_AC1,@priority_Must @req_2.3.3.5.2 @FDA21CFR11 @HIPAA,
